H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000012660	3.56	3.35	1.34	1.09	0.65	4.4	3.56	0.48	0.34	0.29	0.3	0.13
ENSG00000012779	15.87	14.19	11.64	11.99	15.12	15.98	14.84	9.95	8.34	12.26	11.84	12.35
ENSG00000012822	0.12	0.04	0.07	0.07	0.06	0.14	0.05	0.06	0.09	0.13	0.08	0.16
ENSG00000012963	3.76	4.34	3.28	4.87	3.47	3.35	4.09	3.09	3.84	2.61	4.18	4.58
ENSG00000012983	0.04	0.13	0.04	0.03	0.04	0.1	0.09	0.05	0.04	0.05	0.05	0.03
ENSG00000013016	0.51	0.32	0.49	0.65	0.22	0.35	0.88	0.39	0.53	0.66	0.13	0.1
ENSG00000013275	0.2	0.1	0.16	0.22	0.08	0.13	0.22	0.18	0.17	2.4	5.53	5.14
ENSG00000013288	0.17	0.21	0.23	0.26	0.14	0.16	0.15	0.14	0.13	0.12	0.05	0.05
ENSG00000013293	0.05	0.14	0.07	0.04	0.07	0.03	0.02	0.03	0.06	0.03	0.03	0.03
ENSG00000013306	17.41	15.93	17.93	14.51	15.38	11.42	8.15	9.29	9.89	6.75	4.13	6.46
ENSG00000013364	12.81	10	10.23	10.42	16.65	9.13	11.93	10.85	11.64	14.82	13.9	10.9
ENSG00000013374	0.07	0.13	0.05	0.04	0.14	0.12	0.23	1.23	3.32	2.3	3.94	3.92
ENSG00000013375	0.19	0.24	0.24	0.28	0.15	0.21	0.12	0.28	0.46	1.07	0.43	0.44
ENSG00000013441	1.58	3.5	2.8	4.94	5.01	5.02	7.39	9.29	9.73	12.52	12.77	16.9
ENSG00000013503	0.09	0.05	0.07	0.08	0.08	0.08	0.13	0.09	0.08	0.06	0.05	0.05
ENSG00000013523	0.07	0.06	0.1	0.13	0.08	0.12	0.12	0.19	0.28	0.31	1.91	3.06
ENSG00000013561	8.16	10.43	9.11	8.84	8.95	10.53	11.81	11.47	11.95	13.24	20.69	26.51
ENSG00000013563	0.08	0.06	0.04	0.07	0.14	0.19	0.21	0.19	0.29	0.28	0.19	0.16
ENSG00000013573	0.19	0.06	0.08	0.05	0.08	0.08	0.03	0.1	0.11	0.07	0.07	0.05
ENSG00000013583	0.43	3.17	3.35	4	4.4	2.8	4.78	4.97	6.17	5.13	7.15	6.99
ENSG00000013810	43.02	43.21	36.75	40.92	39.42	31.36	29.88	26.05	19.72	18.69	14.54	14.95
ENSG00000014123	0.09	0.15	0.06	0.06	0.06	0.06	0.03	0.07	0.06	0.11	0.18	0.25
ENSG00000014138	0.2	0.58	1.99	2.01	4.8	0.37	4.18	2.13	0.23	0.19	0.1	0.12
ENSG00000014164	4.57	5.6	5.93	6.96	6.08	7.99	8.4	10.68	11.34	12.12	17.88	23.39
ENSG00000014216	0.25	0.29	0.52	0.31	0.27	0.29	0.4	0.25	0.28	0.23	0.15	0.2
ENSG00000014257	0.03	0.04	0.03	0.04	0.03	0.05	0.04	0.07	0.18	0.33	4.07	7.05
ENSG00000014641	5.82	3.46	3.18	4.39	4.04	2.6	4.54	2.09	1.58	1.15	1.25	1.32
