class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000008083	variable	variable	cluster_1	downregulation	downregulation	yes	8.20554825469405	ns	10.1183	0.0242397576024	0.0402992243369093	0.0285927616699917	0.929711646329885	0.957863038238257	-0.0975565832663799	0.762939923766203	0.819651859925501	stable
ENSG00000008128	high_expression	flat	cluster_1	downregulation	downregulation	yes	0.0474253019707565	significant	10.9991	0.225747742523	0.31526162999299	-0.650721262868018	0.0219329623987007	0.0870032292489435	-0.627447828109059	0.0289540541830286	0.0648135365522453	not_correlated
ENSG00000008130	upregulation	NA	NA	NA	upregulation	yes	5.13405495420483	significant	2.6776	9.999900001e-06	1.77221798737652e-05	0.914922266827387	3.03900796849942e-05	0.00137096820151968	0.332591309024119	0.290832890599891	0.390814350885284	positively_correlated
ENSG00000008282	variable	variable	cluster_2	upregulation	upregulation	yes	4.04822630223478	significant	16.4156	0.10382896171	0.163736559805833	-0.516166016701254	0.0858034956651027	0.210189771260151	-0.700442089891928	0.0111839022938626	0.0312851235976283	negatively_correlated
ENSG00000008283	upregulation	NA	NA	NA	upregulation	yes	7.95290824261275	ns	13.4224	0.20363796362	0.290859631424511	0.017126499568302	0.957869233955138	0.974495115755702	0.326954321805404	0.299585634250476	0.399815020082017	stable
ENSG00000008294	variable	variable	cluster_3	bending	bending	yes	2.79925571901526	ns	14.8506	0.953480465195	1	-0.351621124924142	0.26236903685874	0.434508304350301	0.177881100049122	0.580196049929406	0.665249221951251	stable
ENSG00000008311	variable	variable	cluster_1	downregulation	downregulation	yes	0.560664835631566	ns	16.2558	0.441155588444	0.536332986405045	-0.449221291737112	0.142912926100954	0.295390166432602	0.762715011768197	0.00391437723493786	0.0143911988849467	stable
ENSG00000008324	variable	variable	cluster_1	downregulation	downregulation	yes	5.22559738134206	ns	7.934	9.999900001e-06	1.77221798737652e-05	0.421418979011917	0.172441428512325	0.333745243597388	0.262754995116665	0.40932176956821	0.509210833871071	stable
ENSG00000008405	variable	variable	cluster_1	downregulation	downregulation	yes	0.874045143874562	ns	11.1623	0.159558404416	0.238550360726211	0.0142289117798102	0.964992988362097	0.97902340925634	0.397255177770584	0.20099794768517	0.292620734786914	stable
ENSG00000008441	downregulation	NA	NA	NA	downregulation	yes	7.08325014973049	significant	2.1	9.999900001e-06	1.77221798737652e-05	0.931946729149502	1.02468118803911e-05	0.000724635517576414	0.877304894898079	0.0001776004745475	0.00156563158667398	positively_correlated
ENSG00000008513	upregulation	NA	NA	NA	upregulation	yes	7.60714735542811	ns	11.3835	0.0326596734033	0.0539957128738931	-0.23385644535176	0.464446618989332	0.629240146867612	0.884368969670368	0.000133670199046859	0.00127409898207388	stable
ENSG00000008838	variable	variable	cluster_1	downregulation	downregulation	yes	1.84745801128765	ns	14.1325	0.579594204058	0.673147448450353	-0.80338875550246	0.0016459301331194	0.0164641534560819	-0.669402243040346	0.0172672028773782	0.0435528752942533	stable
ENSG00000008853	peaking	H036	NA	NA	peaking	yes	6.7929160796941	ns	4.7654	1.9999800002e-05	3.48823618627411e-05	0.339996488159449	0.279557145942882	0.453137642697082	0.842646607881127	0.000579694721538832	0.00360562042334999	stable
ENSG00000008869	moderate_expression	flat	cluster_2	upregulation	upregulation	yes	0.795693455408613	significant	2.3326	9.999900001e-06	1.77221798737652e-05	0.414340554196368	0.18052583188722	0.342700338074321	0.546532266017272	0.0659681781061824	0.121912004848534	not_correlated
