gene_id	H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000171860.4 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000188612.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000105755.7 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000130479.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000169733.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000158481.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000142089.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000120068.6 	0	0	0	0	0	0	0	0	0	1	1	1
ENSG00000113522.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000163558.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000101413.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000131116.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000132196.13 	1	1	1	1	1	1	1	1	1	1	1	1
